edgeId,edgeType,tupleId,fromRef,toRef,routeFamilyRef,shellType,bindingVerdict,reasonRefs
FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1,patient-web,rpb::local::authoritative,rf_patient_appointments,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1,audsurf_patient_transaction_recovery,patient-web,rf_patient_embedded_channel,patient,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1,patient-web,rpb::local::authoritative,rf_patient_embedded_channel,patient,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1,audsurf_patient_authenticated_portal,patient-web,rf_patient_health_record,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1,patient-web,rpb::local::authoritative,rf_patient_health_record,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_HOME_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_HOME_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_HOME_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_HOME_V1,audsurf_patient_authenticated_portal,patient-web,rf_patient_home,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_HOME_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_HOME_V1,patient-web,rpb::local::authoritative,rf_patient_home,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_MESSAGES_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_MESSAGES_V1,surf_patient_messages,audsurf_patient_authenticated_portal,rf_patient_messages,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_MESSAGES_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_MESSAGES_V1,audsurf_patient_authenticated_portal,patient-web,rf_patient_messages,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_MESSAGES_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_MESSAGES_V1,patient-web,rpb::local::authoritative,rf_patient_messages,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_REQUESTS_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_REQUESTS_V1,surf_patient_requests,audsurf_patient_authenticated_portal,rf_patient_requests,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_REQUESTS_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_REQUESTS_V1,audsurf_patient_authenticated_portal,patient-web,rf_patient_requests,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_REQUESTS_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_REQUESTS_V1,patient-web,rpb::local::authoritative,rf_patient_requests,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,surf_patient_secure_link_recovery,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,patient,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,audsurf_patient_transaction_recovery,patient-web,rf_patient_secure_link_recovery,patient,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,patient-web,rpb::local::authoritative,rf_patient_secure_link_recovery,patient,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PHARMACY_CONSOLE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PHARMACY_CONSOLE_V1,surf_pharmacy_console,audsurf_pharmacy_console,rf_pharmacy_console,pharmacy,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PHARMACY_CONSOLE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PHARMACY_CONSOLE_V1,audsurf_pharmacy_console,pharmacy-console,rf_pharmacy_console,pharmacy,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PHARMACY_CONSOLE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PHARMACY_CONSOLE_V1,pharmacy-console,rpb::local::authoritative,rf_pharmacy_console,pharmacy,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1,surf_clinician_workspace,audsurf_clinical_workspace,rf_staff_workspace,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1,audsurf_clinical_workspace,clinical-workspace,rf_staff_workspace,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1,clinical-workspace,rpb::local::authoritative,rf_staff_workspace,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1,surf_practice_ops_workspace,audsurf_clinical_workspace,rf_staff_workspace,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1,audsurf_clinical_workspace,clinical-workspace,rf_staff_workspace,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1,clinical-workspace,rpb::local::authoritative,rf_staff_workspace,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1,surf_assistive_sidecar,audsurf_clinical_workspace,rf_staff_workspace_child,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1,audsurf_clinical_workspace,clinical-workspace,rf_staff_workspace_child,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1,clinical-workspace,rpb::local::authoritative,rf_staff_workspace_child,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1,surf_clinician_workspace_child,audsurf_clinical_workspace,rf_staff_workspace_child,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1,audsurf_clinical_workspace,clinical-workspace,rf_staff_workspace_child,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1,clinical-workspace,rpb::local::authoritative,rf_staff_workspace_child,staff,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1,surf_support_replay_observe,audsurf_support_workspace,rf_support_replay_observe,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1,audsurf_support_workspace,support-workspace,rf_support_replay_observe,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1,support-workspace,rpb::local::authoritative,rf_support_replay_observe,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1,surf_support_assisted_capture,audsurf_support_workspace,rf_support_ticket_workspace,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1,audsurf_support_workspace,support-workspace,rf_support_ticket_workspace,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1,support-workspace,rpb::local::authoritative,rf_support_ticket_workspace,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1,surf_support_ticket_workspace,audsurf_support_workspace,rf_support_ticket_workspace,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1,audsurf_support_workspace,support-workspace,rf_support_ticket_workspace,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1,support-workspace,rpb::local::authoritative,rf_support_ticket_workspace,support,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
