merge_gate_id,gate_title,gate_type,baseline_scope,incoming_milestone_refs,required_artifact_refs,required_dependency_refs,required_risk_posture_refs,required_conformance_refs,blocking_rule_refs,gate_owner_role,failure_mode_if_skipped,notes,incoming_task_refs,required_completed_task_refs,gate_status,incoming_task_span
GATE_XC_EXIT,Cross-phase portal/support exit gate,programme_conformance,current,['MS_XC_MERGE_AND_PROOF'],"['cross_phase_exit_verdict', 'cross_phase_continuity_pack']",[],"['RISK_ASSURANCE_001', 'RISK_UI_001']","['CROSS_PHASE_CONFORMANCE_SCORECARD_CROSS_PHASE_CONTROLS', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_CROSS_PHASE_OWNER,Cross-phase portal/support exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Cross-phase portal/support exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_223', 'seq_224']","['seq_223', 'seq_224']",blocked,seq_223 -> seq_224
GATE_P3_PARALLEL_MERGE,Phase 3 triage parallel merge,par_block_merge,current,['MS_P3_PARALLEL_TRIAGE_AND_CALLBACK'],['p3_implementation_pack'],[],"['RISK_ASSURANCE_001', 'RISK_OWNERSHIP_001', 'RISK_OWNERSHIP_003', 'RISK_UI_001']",['PHASE_CONFORMANCE_ROW_PHASE_3'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE3_OWNER,Phase 3 triage parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 3 triage parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_231', 'par_232', 'par_233', 'par_234', 'par_235', 'par_236', 'par_237', 'par_238', 'par_239', 'par_240', 'par_241', 'par_242', 'par_243', 'par_244', 'par_245', 'par_246', 'par_247', 'par_248', 'par_249', 'par_250', 'par_251', 'par_252', 'par_253', 'par_254', 'par_255', 'par_256', 'par_257', 'par_258', 'par_259', 'par_260', 'par_261', 'par_262', 'par_263', 'par_264', 'par_265', 'par_266', 'par_267', 'par_268', 'par_269']","['par_231', 'par_232', 'par_233', 'par_234', 'par_235', 'par_236', 'par_237', 'par_238', 'par_239', 'par_240', 'par_241', 'par_242', 'par_243', 'par_244', 'par_245', 'par_246', 'par_247', 'par_248', 'par_249', 'par_250', 'par_251', 'par_252', 'par_253', 'par_254', 'par_255', 'par_256', 'par_257', 'par_258', 'par_259', 'par_260', 'par_261', 'par_262', 'par_263', 'par_264', 'par_265', 'par_266', 'par_267', 'par_268', 'par_269']",blocked,par_231 -> par_269
GATE_P3_EXIT,Phase 3 exit gate,phase_exit,current,['MS_P3_MERGE_AND_PROOF'],"['p3_exit_verdict', 'p3_proof_pack']",[],"['RISK_ASSURANCE_001', 'RISK_OWNERSHIP_001', 'RISK_OWNERSHIP_003', 'RISK_UI_001']","['PHASE_CONFORMANCE_ROW_PHASE_3', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE3_OWNER,Phase 3 exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 3 exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_270', 'seq_271', 'seq_272', 'seq_273', 'seq_274', 'seq_275', 'seq_276']","['seq_270', 'seq_271', 'seq_272', 'seq_273', 'seq_274', 'seq_275', 'seq_276']",blocked,seq_270 -> seq_276
GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,['MS_P4_PARALLEL_BOOKING_IMPLEMENTATION'],['p4_implementation_pack'],['dep_local_booking_supplier_adapters'],"['RISK_BOOKING_001', 'RISK_BOOKING_002', 'RISK_OWNERSHIP_003', 'RISK_RECOVERY_001', 'RISK_RUNTIME_001']",['PHASE_CONFORMANCE_ROW_PHASE_4'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE4_OWNER,Phase 4 booking parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 4 booking parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_282', 'par_283', 'par_284', 'par_285', 'par_286', 'par_287', 'par_288', 'par_289', 'par_290', 'par_291', 'par_292', 'par_293', 'par_294', 'par_295', 'par_296', 'par_297', 'par_298', 'par_299', 'par_300', 'par_301', 'par_302', 'par_303']","['par_282', 'par_283', 'par_284', 'par_285', 'par_286', 'par_287', 'par_288', 'par_289', 'par_290', 'par_291', 'par_292', 'par_293', 'par_294', 'par_295', 'par_296', 'par_297', 'par_298', 'par_299', 'par_300', 'par_301', 'par_302', 'par_303']",blocked,par_282 -> par_303
GATE_P4_EXIT,Phase 4 exit gate,phase_exit,current,['MS_P4_MERGE_CONFIG_AND_PROOF'],"['p4_exit_verdict', 'p4_proof_pack']",['dep_local_booking_supplier_adapters'],"['RISK_BOOKING_001', 'RISK_BOOKING_002', 'RISK_OWNERSHIP_003', 'RISK_RECOVERY_001', 'RISK_RUNTIME_001']","['PHASE_CONFORMANCE_ROW_PHASE_4', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE4_OWNER,Phase 4 exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 4 exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_304', 'seq_305', 'seq_306', 'seq_307', 'seq_308', 'seq_309']","['seq_304', 'seq_305', 'seq_306', 'seq_307', 'seq_308', 'seq_309']",blocked,seq_304 -> seq_309
GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,['MS_P5_PARALLEL_NETWORK_IMPLEMENTATION'],['p5_implementation_pack'],"['dep_network_capacity_partner_feeds', 'dep_cross_org_secure_messaging_mesh']","['RISK_BOOKING_001', 'RISK_BOOKING_002', 'RISK_OWNERSHIP_003', 'RISK_RECOVERY_001']",['PHASE_CONFORMANCE_ROW_PHASE_5'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE5_OWNER,Phase 5 network parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 5 network parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_315', 'par_316', 'par_317', 'par_318', 'par_319', 'par_320', 'par_321', 'par_322', 'par_323', 'par_324', 'par_325', 'par_326', 'par_327', 'par_328', 'par_329', 'par_330', 'par_331', 'par_332', 'par_333', 'par_334']","['par_315', 'par_316', 'par_317', 'par_318', 'par_319', 'par_320', 'par_321', 'par_322', 'par_323', 'par_324', 'par_325', 'par_326', 'par_327', 'par_328', 'par_329', 'par_330', 'par_331', 'par_332', 'par_333', 'par_334']",blocked,par_315 -> par_334
GATE_P5_EXIT,Phase 5 exit gate,phase_exit,current,['MS_P5_MERGE_CONFIG_AND_PROOF'],"['p5_exit_verdict', 'p5_proof_pack']",['dep_network_capacity_partner_feeds'],"['RISK_BOOKING_001', 'RISK_BOOKING_002', 'RISK_OWNERSHIP_003', 'RISK_RECOVERY_001']","['PHASE_CONFORMANCE_ROW_PHASE_5', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE5_OWNER,Phase 5 exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 5 exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_335', 'seq_336', 'seq_337', 'seq_338', 'seq_339', 'seq_340']","['seq_335', 'seq_336', 'seq_337', 'seq_338', 'seq_339', 'seq_340']",blocked,seq_335 -> seq_340
GATE_P6_PARALLEL_MERGE,Phase 6 pharmacy parallel merge,par_block_merge,current,['MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION'],['p6_implementation_pack'],"['dep_pharmacy_directory_dohs', 'dep_pharmacy_referral_transport']","['RISK_OWNERSHIP_003', 'RISK_PHARMACY_001', 'RISK_RECOVERY_001']",['PHASE_CONFORMANCE_ROW_PHASE_6'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE6_OWNER,Phase 6 pharmacy parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 6 pharmacy parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_346', 'par_347', 'par_348', 'par_349', 'par_350', 'par_351', 'par_352', 'par_353', 'par_354', 'par_355', 'par_356', 'par_357', 'par_358', 'par_359', 'par_360', 'par_361', 'par_362', 'par_363', 'par_364', 'par_365']","['par_346', 'par_347', 'par_348', 'par_349', 'par_350', 'par_351', 'par_352', 'par_353', 'par_354', 'par_355', 'par_356', 'par_357', 'par_358', 'par_359', 'par_360', 'par_361', 'par_362', 'par_363', 'par_364', 'par_365']",blocked,par_346 -> par_365
GATE_P6_EXIT,Phase 6 exit gate,phase_exit,current,['MS_P6_MERGE_CONFIG_AND_PROOF'],"['p6_exit_verdict', 'p6_proof_pack']",['dep_pharmacy_directory_dohs'],"['RISK_OWNERSHIP_003', 'RISK_PHARMACY_001', 'RISK_RECOVERY_001']","['PHASE_CONFORMANCE_ROW_PHASE_6', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE6_OWNER,Phase 6 exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 6 exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_366', 'seq_367', 'seq_368', 'seq_369', 'seq_370', 'seq_371']","['seq_366', 'seq_367', 'seq_368', 'seq_369', 'seq_370', 'seq_371']",blocked,seq_366 -> seq_371
GATE_POST6_SCOPE_SPLIT,Post-Phase-6 scope split gate,programme_conformance,current,['MS_POST6_SCOPE_SPLIT_GATE'],['scope_split_gate_pack'],[],"['RISK_ASSURANCE_001', 'RISK_UI_002']",['CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE'],"['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PROGRAMME_DIRECTOR,Post-Phase-6 scope split gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Post-Phase-6 scope split gate keeps its evidence tuple explicit and scope-aware in the programme graph.,['seq_373'],['seq_373'],blocked,seq_373
GATE_P7_DEFERRED_MERGE,Phase 7 deferred parallel merge,par_block_merge,deferred,['MS_P7_PARALLEL_EMBEDDED_CHANNEL'],['phase7_embedded_channel_pack'],['dep_nhs_app_embedded_channel_ecosystem'],['RISK_UI_002'],['PHASE_CONFORMANCE_ROW_PHASE_7'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_LONG_LEAD_VISIBLE']",ROLE_PHASE7_OWNER,Phase 7 deferred parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 7 deferred parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_377', 'par_378', 'par_379', 'par_380', 'par_381', 'par_382', 'par_383', 'par_384', 'par_385', 'par_386', 'par_387', 'par_388', 'par_389', 'par_390', 'par_391', 'par_392', 'par_393', 'par_394', 'par_395', 'par_396']","['par_377', 'par_378', 'par_379', 'par_380', 'par_381', 'par_382', 'par_383', 'par_384', 'par_385', 'par_386', 'par_387', 'par_388', 'par_389', 'par_390', 'par_391', 'par_392', 'par_393', 'par_394', 'par_395', 'par_396']",deferred,par_377 -> par_396
GATE_P7_EXIT,Phase 7 deferred exit gate,phase_exit,deferred,['MS_P7_MERGE_AND_PROOF'],"['phase7_exit_verdict', 'phase7_proof_pack']",['dep_nhs_app_embedded_channel_ecosystem'],['RISK_UI_002'],"['PHASE_CONFORMANCE_ROW_PHASE_7', 'CROSS_PHASE_CONFORMANCE_SCORECARD_FULL_PROGRAMME']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_LONG_LEAD_VISIBLE']",ROLE_PHASE7_OWNER,Phase 7 deferred exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 7 deferred exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_397', 'par_398', 'par_399', 'par_400', 'par_401']","['par_397', 'par_398', 'par_399', 'par_400', 'par_401']",deferred,par_397 -> par_401
GATE_P8_PARALLEL_MERGE,Phase 8 assistive parallel merge,par_block_merge,current,['MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION'],['phase8_assistive_pack'],['dep_assistive_model_vendor_family'],['RISK_ASSURANCE_001'],['PHASE_CONFORMANCE_ROW_PHASE_8'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE8_OWNER,Phase 8 assistive parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 8 assistive parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_406', 'par_407', 'par_408', 'par_409', 'par_410', 'par_411', 'par_412', 'par_413', 'par_414', 'par_415', 'par_416', 'par_417', 'par_418', 'par_419', 'par_420', 'par_421', 'par_422', 'par_423', 'par_424', 'par_425', 'par_426']","['par_406', 'par_407', 'par_408', 'par_409', 'par_410', 'par_411', 'par_412', 'par_413', 'par_414', 'par_415', 'par_416', 'par_417', 'par_418', 'par_419', 'par_420', 'par_421', 'par_422', 'par_423', 'par_424', 'par_425', 'par_426']",blocked,par_406 -> par_426
GATE_P8_EXIT,Phase 8 assistive exit gate,phase_exit,current,['MS_P8_PROOF_AND_EXIT_PACK'],"['phase8_exit_verdict', 'phase8_proof_pack']",['dep_assistive_model_vendor_family'],['RISK_ASSURANCE_001'],"['PHASE_CONFORMANCE_ROW_PHASE_8', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE8_OWNER,Phase 8 assistive exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 8 assistive exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_428', 'par_429', 'par_430']","['par_428', 'par_429', 'par_430']",blocked,par_428 -> par_430
GATE_P9_PARALLEL_MERGE,Phase 9 assurance parallel merge,par_block_merge,current,['MS_P9_PARALLEL_ASSURANCE_IMPLEMENTATION'],['phase9_assurance_pack'],[],['RISK_ASSURANCE_001'],['PHASE_CONFORMANCE_ROW_PHASE_9'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE9_OWNER,Phase 9 assurance parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 9 assurance parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_435', 'par_436', 'par_437', 'par_438', 'par_439', 'par_440', 'par_441', 'par_442', 'par_443', 'par_444', 'par_445', 'par_446', 'par_447', 'par_448', 'par_449', 'par_450', 'par_451', 'par_452', 'par_453', 'par_454', 'par_455', 'par_456', 'par_457', 'par_458', 'par_459', 'par_460', 'par_461', 'par_462', 'par_463']","['par_435', 'par_436', 'par_437', 'par_438', 'par_439', 'par_440', 'par_441', 'par_442', 'par_443', 'par_444', 'par_445', 'par_446', 'par_447', 'par_448', 'par_449', 'par_450', 'par_451', 'par_452', 'par_453', 'par_454', 'par_455', 'par_456', 'par_457', 'par_458', 'par_459', 'par_460', 'par_461', 'par_462', 'par_463']",blocked,par_435 -> par_463
GATE_P9_EXIT,Phase 9 assurance exit gate,phase_exit,current,['MS_P9_PROOF_AND_EXIT_PACK'],"['phase9_exit_verdict', 'phase9_proof_pack']",[],['RISK_ASSURANCE_001'],"['PHASE_CONFORMANCE_ROW_PHASE_9', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE9_OWNER,Phase 9 assurance exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 9 assurance exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_465', 'par_466', 'par_467', 'par_468', 'par_469', 'par_470']","['par_465', 'par_466', 'par_467', 'par_468', 'par_469', 'par_470']",blocked,par_465 -> par_470
GATE_CURRENT_BASELINE_CONFORMANCE,Current-baseline conformance gate,programme_conformance,current,['MS_PRG_CURRENT_BASELINE_CONFORMANCE'],['cross_phase_conformance_scorecard_current_baseline'],[],"['RISK_ASSURANCE_001', 'RISK_RUNTIME_001']",['CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE'],"['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PROGRAMME_DIRECTOR,Current-baseline conformance gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Current-baseline conformance gate keeps its evidence tuple explicit and scope-aware in the programme graph.,['seq_472'],['seq_472'],blocked,seq_472
GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,['MS_PRG_RELEASE_READINESS'],"['production_readiness_pack', 'dress_rehearsal_pack', 'final_verification_pack']",[],"['RISK_ASSURANCE_001', 'RISK_RUNTIME_001']",['CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE'],"['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_RELEASE_MANAGER,Release readiness gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Release readiness gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_474', 'seq_475', 'seq_476', 'seq_477', 'seq_478', 'seq_479', 'seq_480', 'seq_481']","['seq_474', 'seq_475', 'seq_476', 'seq_477', 'seq_478', 'seq_479', 'seq_480', 'seq_481']",blocked,seq_474 -> seq_481
GATE_WAVE1_OBSERVATION,Wave 1 observation gate,seq_release,current,['MS_PRG_WAVE1_PROMOTION_AND_OBSERVATION'],"['wave1_watch_tuple_pack', 'wave1_observation_pack']",[],['RISK_ASSURANCE_001'],['CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE'],"['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_RELEASE_MANAGER,Wave 1 observation gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Wave 1 observation gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_482', 'seq_483']","['seq_482', 'seq_483']",blocked,seq_482 -> seq_483
GATE_OPTIONAL_ASSISTIVE_ENABLEMENT,Optional assistive visible-mode gate,programme_conformance,optional,['MS_PRG_OPTIONAL_ASSISTIVE_VISIBLE_ENABLEMENT'],['assistive_visible_cohort_pack'],['dep_assistive_model_vendor_family'],['RISK_ASSURANCE_001'],['PHASE_CONFORMANCE_ROW_PHASE_8'],"['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE8_OWNER,Optional assistive visible-mode gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Optional assistive visible-mode gate keeps its evidence tuple explicit and scope-aware in the programme graph.,['seq_485'],['seq_485'],optional,seq_485
GATE_DEFERRED_NHSAPP_ENABLEMENT,Deferred NHS App enablement gate,programme_conformance,deferred,"['MS_PRG_DEFERRED_PHASE7_CONFORMANCE', 'MS_PRG_DEFERRED_NHSAPP_ENABLEMENT']",['nhsapp_manifest_enablement_pack'],['dep_nhs_app_embedded_channel_ecosystem'],['RISK_UI_002'],"['PHASE_CONFORMANCE_ROW_PHASE_7', 'CROSS_PHASE_CONFORMANCE_SCORECARD_FULL_PROGRAMME']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_LONG_LEAD_VISIBLE']",ROLE_PHASE7_OWNER,Deferred NHS App enablement gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Deferred NHS App enablement gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_473', 'seq_486']","['seq_473', 'seq_486']",deferred,seq_473 -> seq_486
GATE_BAU_TRANSFER,BAU transfer gate,programme_conformance,current,"['MS_PRG_MULTIWAVE_RELEASE', 'MS_PRG_BAU_HANDOVER_AND_ARCHIVE']","['bau_readiness_pack', 'release_to_bau_record', 'launch_evidence_archive']",[],"['RISK_ASSURANCE_001', 'RISK_RUNTIME_001']","['CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE', 'CROSS_PHASE_CONFORMANCE_SCORECARD_FULL_PROGRAMME']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PROGRAMME_DIRECTOR,BAU transfer gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,BAU transfer gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_484', 'seq_487', 'seq_488', 'seq_489']","['seq_484', 'seq_487', 'seq_488', 'seq_489']",blocked,seq_484 -> seq_489
