provider_family,dimension_id,dimension_title,dimension_class,minimum_bar_actual_later,evidence_required_actual_later,kill_switch_if_failed_actual_later,source_refs,notes
identity_auth,operational_support,Operational Support And Incident Handling,operational_support,4,"[""Support model, incident routing, escalation path, and recovery SLA for the NHS login identity rail."", ""Evidence that disputes, resets, or reconciliations can be handled without vendor lock-in to one operator workflow.""]",Reject the provider if support or incident handling cannot sustain the required service posture.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Later live-provider acceptance is not just about APIs; it is about the operational recovery contract too. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,"[""Commercial model, minimum term, price-break risk, and usage assumptions for the NHS login identity rail."", ""Exit-cost or migration evidence showing how future replacement remains feasible.""]",Reject the provider if lock-in or pricing posture would undermine later portability or roadmap freedom.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Commercial ease cannot override truth, safety, audit, or portability law. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,portability_and_exit,Portability And Adapter Exit Posture,portability,4,"[""Provider contract or docs proving identifiers, callbacks, or artifacts can be normalized without irreversible lock-in."", ""Migration or replacement strategy showing how Vecells would exit the provider without rewriting product logic.""]",Reject the provider if replacement would force core lifecycle logic to be rewritten.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Portability guards against direct supplier coupling and protects later provider changes. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,4,"[""Provider outage, latency, or partial failure evidence showing Vecells can degrade safely when the NHS login identity rail is unhealthy."", ""Evidence that the provider does not force silent success or bypass the declared degradation profile.""]",Reject the provider if outage or partial-failure behavior cannot support the declared degraded mode.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Degraded-mode law is part of the provider scorecard, not an afterthought. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,5,"[""Provider UX, branding, sender, redirect, or consent constraints for the NHS login identity rail."", ""Evidence that provider-specific UI constraints do not force unsafe or misleading patient-facing wording.""]",Reject the provider if required UX or branding constraints would force misleading or non-compliant flows.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Interaction constraints matter when they change calmness, redirect safety, or patient expectations. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,3,"[""Evidence that the live-provider plan can preserve simulator parity and contract tests as onboarding advances."", ""Mapping showing how live sandbox states compare with the already-approved simulator states for the NHS login identity rail.""]",Reject the provider if onboarding would break simulator parity or invalidate the approved contract tests.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",This dimension exists specifically to prevent mock providers from becoming oversimplified placeholders. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are NHS login core identity rail.
telephony_voice_and_recording,contract_shape,Capability And Tuple Coverage,capability,4,"[""Provider API or callback contract pack showing how telephony voice capture, recording, and transcript processing maps into one Vecells adapter boundary."", ""Evidence that unsupported states are explicit rather than inferred from supplier-local success labels.""]",Reject the provider if Vecells would need supplier-specific business logic outside the published adapter contract.,"[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Capability evaluation must stay in the Vecells core and may not escape into provider-specific semantics. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,authoritative_truth,Authoritative Truth Separation,proof_truth,5,"[""Provider evidence pack proving transport acceptance and authoritative truth remain distinct for telephony voice capture, recording, and transcript processing."", ""Operational proof showing authoritative confirmation or durable observation is available to contract tests and audits.""]",Reject the provider if it cannot represent authoritative truth separately from accepted transport or local acknowledgement.,"[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","No provider family may pass without explicit proof-truth semantics. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,5,"[""Provider docs or sandbox evidence showing duplicate, replay, delayed, contradictory, or missing events can be detected and reconciled."", ""Evidence that operators can inspect and recover ambiguous telephony voice capture, recording, and transcript processing states without vendor-side guesswork.""]",Reject the provider if failure semantics are opaque or if ambiguity cannot be surfaced for review.,"[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Opaque ambiguity handling is a hard architectural failure, not a scoring nicety. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,security_replay,"Security, Authentication, And Replay Control",security,4,"[""Security docs showing webhook authentication, key rotation, replay protection, and environment isolation for telephony voice capture, recording, and transcript processing."", ""Evidence that the provider does not require browser egress or client-side secrets for the protected path.""]","Reject the provider if replay protection, callback authenticity, or environment isolation are inadequate.","[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Security control evidence must remain compatible with future secret ownership and vault-ingest law. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,5,"[""UK residency, subprocessor, retention, and deletion evidence for telephony voice capture, recording, and transcript processing."", ""Data-flow explanation showing what patient or event data leaves Vecells and on what legal or contractual basis.""]","Reject the provider if residency, subprocessor scope, or deletion posture are unclear or incompatible.","[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Mock-now uses synthetic data, but actual-later must still preserve the same disclosure boundaries. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
