question_id,question_group,question_label,response_value,artifact_id,artifact_type,mock_or_actual,submittable_state,source_blueprint_refs,official_process_stage,supplier_scope,capability_family,required_prerequisite,current_evidence_ref,gap_state,owner_role,review_due_at,notes
fld_dspt_commitment_confirmed,Information governance prerequisites,DSPT annual assessment commitment,Yes only when the DSPT ownership and timeline are named.,ART_123_PREREQ_FLD_DSPT_COMMITMENT_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_dspt_refresh_and_security_evidence_current,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/im1_gap_register.json#GAP_IM1_DSPT_REFRESH_REQUIRED_AFTER_PAR_121,dependency_refresh_required,ROLE_SECURITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_dpia_commitment_confirmed,Information governance prerequisites,DPIA and transparency notice commitment,yes,ART_123_PREREQ_FLD_DPIA_COMMITMENT_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted|assurance_pack_in_progress,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/dspt_gap_register.json#summary,covered_with_mock_evidence,ROLE_DPO,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_dpia_commitment_confirmed,Information governance prerequisites,DPIA and transparency notice commitment,"Yes only when DPIA scope, privacy notice, and application/service coverage are current.",ART_123_PREREQ_FLD_DPIA_COMMITMENT_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_dspt_refresh_and_security_evidence_current,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted|assurance_pack_in_progress,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/im1_gap_register.json#GAP_IM1_DSPT_REFRESH_REQUIRED_AFTER_PAR_121,dependency_refresh_required,ROLE_DPO,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_isms_commitment_confirmed,Information governance prerequisites,ISMS / ISO 27001 commitment,yes,ART_123_PREREQ_FLD_ISMS_COMMITMENT_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/dspt_gap_register.json#summary,covered_with_mock_evidence,ROLE_SECURITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_isms_commitment_confirmed,Information governance prerequisites,ISMS / ISO 27001 commitment,Yes only when the ISMS owner and control posture are named.,ART_123_PREREQ_FLD_ISMS_COMMITMENT_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_dspt_refresh_and_security_evidence_current,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/im1_gap_register.json#GAP_IM1_DSPT_REFRESH_REQUIRED_AFTER_PAR_121,dependency_refresh_required,ROLE_SECURITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_pen_test_commitment_confirmed,Information governance prerequisites,CHECK / CREST penetration-test commitment,yes,ART_123_PREREQ_FLD_PEN_TEST_COMMITMENT_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted|assurance_pack_in_progress,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/dspt_gap_register.json#summary,covered_with_mock_evidence,ROLE_SECURITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_pen_test_commitment_confirmed,Information governance prerequisites,CHECK / CREST penetration-test commitment,"Yes only when penetration-test planning, cadence, and evidence sink are named.",ART_123_PREREQ_FLD_PEN_TEST_COMMITMENT_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_dspt_refresh_and_security_evidence_current,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted|assurance_pack_in_progress,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/im1_gap_register.json#GAP_IM1_DSPT_REFRESH_REQUIRED_AFTER_PAR_121,dependency_refresh_required,ROLE_SECURITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_uk_processing_confirmed,Information governance prerequisites,UK location for patient-data processing,yes,ART_123_PREREQ_FLD_UK_PROCESSING_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/dspt_gap_register.json#summary,covered_with_mock_evidence,ROLE_SECURITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_uk_processing_confirmed,Information governance prerequisites,UK location for patient-data processing,Yes only when the UK processing statement and residency posture are current.,ART_123_PREREQ_FLD_UK_PROCESSING_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_dspt_refresh_and_security_evidence_current,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/im1_gap_register.json#GAP_IM1_DSPT_REFRESH_REQUIRED_AFTER_PAR_121,dependency_refresh_required,ROLE_SECURITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_supplier_emis_selected,Provider suppliers,Integrate with EMIS (EMIS Web),yes,ART_123_PREREQ_FLD_SUPPLIER_EMIS_SELECTED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form|official_im1_pairing_process,provider_supplier_targeting_ready|official_prerequisites_form_submitted,optum_emisweb,supplier_scope_and_targeting,Current provider-supplier roster and supplier-specific targeting decision,data/analysis/im1_provider_supplier_register.json#providers,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_supplier_emis_selected,Provider suppliers,Integrate with EMIS (EMIS Web),Yes only when EMIS remains in the current official provider-supplier roster and the route-family matrix supports it.,ART_123_PREREQ_FLD_SUPPLIER_EMIS_SELECTED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_provider_pack_and_compatibility_review_complete,official_im1_prerequisites_form|official_im1_pairing_process,provider_supplier_targeting_ready|official_prerequisites_form_submitted,optum_emisweb,supplier_scope_and_targeting,Current provider-supplier roster and supplier-specific targeting decision,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_EMIS_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_supplier_tpp_selected,Provider suppliers,Integrate with TPP (SystmOne),yes,ART_123_PREREQ_FLD_SUPPLIER_TPP_SELECTED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form|official_im1_pairing_process,provider_supplier_targeting_ready|official_prerequisites_form_submitted,tpp_systmone,supplier_scope_and_targeting,Current provider-supplier roster and supplier-specific targeting decision,data/analysis/im1_provider_supplier_register.json#providers,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_supplier_tpp_selected,Provider suppliers,Integrate with TPP (SystmOne),Yes only when TPP remains in the current official provider-supplier roster and the route-family matrix supports it.,ART_123_PREREQ_FLD_SUPPLIER_TPP_SELECTED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_provider_pack_and_compatibility_review_complete,official_im1_prerequisites_form|official_im1_pairing_process,provider_supplier_targeting_ready|official_prerequisites_form_submitted,tpp_systmone,supplier_scope_and_targeting,Current provider-supplier roster and supplier-specific targeting decision,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_TPP_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_bounded_im1_use_case,Derived stage-one SCAL dossier,Bounded IM1 use case narrative,Local booking capability rehearsal for supplier-specific appointment access while keeping identity and request continuity independent of IM1.,ART_123_PREREQ_FLD_BOUNDED_IM1_USE_CASE_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_pairing_process|official_scal_process|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,stage_one_scal_stub_ready|official_stage_one_scal_issued,cross_supplier,stage_one_scal_preparation,"Current bounded use case, ProviderCapabilityMatrix digest, and route-family compatibility digest",data/analysis/im1_prerequisites_field_map.json#fld_bounded_im1_use_case,covered_with_mock_evidence,ROLE_PROGRAMME_ARCHITECT,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_bounded_im1_use_case,Derived stage-one SCAL dossier,Bounded IM1 use case narrative,Bounded IM1 scope statement that excludes Phase 2 identity shortcuts and names the exact patient and staff booking surfaces.,ART_123_PREREQ_FLD_BOUNDED_IM1_USE_CASE_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_pairing_process|official_scal_process|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,stage_one_scal_stub_ready|official_stage_one_scal_issued,cross_supplier,stage_one_scal_preparation,"Current bounded use case, ProviderCapabilityMatrix digest, and route-family compatibility digest",docs/assurance/123_scal_response_strategy.md#actual_production_strategy_later,wait_for_stage_one_scal_after_prerequisites,ROLE_PROGRAMME_ARCHITECT,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_capability_matrix_digest,Derived stage-one SCAL dossier,ProviderCapabilityMatrix digest,PCM-SEQ026-DIGEST-001,ART_123_PREREQ_FLD_CAPABILITY_MATRIX_DIGEST_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_scal_process|phase-0-the-foundation-protocol.md#1.13A ProviderCapabilityMatrix|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,stage_one_scal_stub_ready|provider_supplier_targeting_ready|compatibility_claim_ready,cross_supplier,stage_one_scal_preparation,"Current bounded use case, ProviderCapabilityMatrix digest, and route-family compatibility digest",data/analysis/im1_prerequisites_field_map.json#fld_capability_matrix_digest,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_capability_matrix_digest,Derived stage-one SCAL dossier,ProviderCapabilityMatrix digest,Published provider capability matrix hash or immutable reference for the submitted scope.,ART_123_PREREQ_FLD_CAPABILITY_MATRIX_DIGEST_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_scal_process|phase-0-the-foundation-protocol.md#1.13A ProviderCapabilityMatrix|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,stage_one_scal_stub_ready|provider_supplier_targeting_ready|compatibility_claim_ready,cross_supplier,stage_one_scal_preparation,"Current bounded use case, ProviderCapabilityMatrix digest, and route-family compatibility digest",docs/assurance/123_scal_response_strategy.md#actual_production_strategy_later,wait_for_stage_one_scal_after_prerequisites,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_route_family_matrix_digest,Derived stage-one SCAL dossier,Route-family compatibility digest,RFCOMP-SEQ026-001,ART_123_PREREQ_FLD_ROUTE_FAMILY_MATRIX_DIGEST_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_api_standards|phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,provider_supplier_targeting_ready|compatibility_claim_ready,cross_supplier,stage_one_scal_preparation,Current IM1 readiness pack,data/analysis/im1_prerequisites_field_map.json#fld_route_family_matrix_digest,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_route_family_matrix_digest,Derived stage-one SCAL dossier,Route-family compatibility digest,Immutable reference for the submitted route-family-to-supplier compatibility matrix.,ART_123_PREREQ_FLD_ROUTE_FAMILY_MATRIX_DIGEST_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_api_standards|phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,provider_supplier_targeting_ready|compatibility_claim_ready,cross_supplier,stage_one_scal_preparation,Current IM1 readiness pack,docs/assurance/123_scal_response_strategy.md#actual_production_strategy_later,wait_for_stage_one_scal_after_prerequisites,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_booking_truth_guardrails,Derived stage-one SCAL dossier,Booking truth and ambiguity guardrails,"Queue acceptance, supplier processing, or mock-API access never imply booked truth; only authoritative confirmation proof may do that.",ART_123_PREREQ_FLD_BOOKING_TRUTH_GUARDRAILS_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,"official_im1_pairing_process|phase-4-the-booking-engine.md#4E. Commit path, revalidation, booking record, and compensation|blueprint/forensic-audit-findings.md#Finding 72 - The booking commit path did not bind ambiguous supplier truth to canonical confirmation gates strongly enough",compatibility_claim_ready|provider_mock_api_rehearsal_ready,cross_supplier,technical_conformance_and_booking_truth,Booking truth guardrail statement and authoritative confirmation proof chain,data/analysis/gp_booking_capability_evidence.json#path_requirements,covered_with_mock_evidence,ROLE_BOOKING_DOMAIN_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_booking_truth_guardrails,Derived stage-one SCAL dossier,Booking truth and ambiguity guardrails,"Submission-ready statement showing how supplier truth, ambiguity, and fallback remain separate from canonical booking state.",ART_123_PREREQ_FLD_BOOKING_TRUTH_GUARDRAILS_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_supplier_confirmation_semantics_evidenced,"official_im1_pairing_process|phase-4-the-booking-engine.md#4E. Commit path, revalidation, booking record, and compensation|blueprint/forensic-audit-findings.md#Finding 72 - The booking commit path did not bind ambiguous supplier truth to canonical confirmation gates strongly enough",compatibility_claim_ready|provider_mock_api_rehearsal_ready,cross_supplier,technical_conformance_and_booking_truth,Booking truth guardrail statement and authoritative confirmation proof chain,docs/assurance/123_supplier_capability_and_pairing_assumptions.md#actual_production_strategy_later,provider_pack_pending,ROLE_BOOKING_DOMAIN_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_architecture_artifact_set,Derived stage-one SCAL dossier,Current architecture and data-flow artifact set,"Architecture ADR pack, runtime topology, data classification pack, and backend/frontend baseline references current on 2026-04-09.",ART_123_PREREQ_FLD_ARCHITECTURE_ARTIFACT_SET_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_scal_process|ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,stage_one_scal_stub_ready|assurance_pack_in_progress|ready_for_real_im1_submission,cross_supplier,technical_conformance_and_booking_truth,"Current runtime topology, architecture summary, and data-flow references",data/analysis/im1_pairing_pack.json#artifacts,covered_with_mock_evidence,ROLE_PROGRAMME_ARCHITECT,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
