row_id,entry_kind,bundle_refs,scope_or_claim_ref,product_purpose,exact_in_product_use,route_binding_refs,assurance_level_assumption,dependent_integration_refs,blocked_reason,contact_truth_boundary,current_evidence_ref,gap_state,owner_role,review_due_at,notes
ROW_124_CLAIM_EMAIL_VERIFIED,claim,sb_auth_contact_minimum,email_verified,contact verification hint,used as a verification hint for candidate data and not as a replacement for local contact preference evidence,rb_patient_intake_upgrade|rb_patient_settings_link,P0_minimum,none,not_blocked,not_authoritative_contact_source,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Verification hint only.
ROW_124_CLAIM_PHONE_NUMBER,claim,sb_auth_contact_minimum|sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,phone_number,contact candidate continuity,shown as candidate phone data and never as authoritative patient contact truth,rb_patient_intake_upgrade|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_patient_settings_link|rb_gp_im1_pairing,P0_to_P9_by_route,none,not_blocked,not_authoritative_contact_source,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Contact-source separation remains explicit.
ROW_124_CLAIM_PHONE_VERIFIED,claim,sb_auth_contact_minimum|sb_patient_profile,phone_number_verified,contact verification hint,used as a verification hint for candidate phone data only,rb_patient_intake_upgrade|rb_patient_home|rb_patient_requests|rb_patient_messages|rb_patient_settings_link,P0_or_P5,none,not_blocked,not_authoritative_contact_source,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Does not override local preference or GP truth.
ROW_124_CLAIM_NHS_NUMBER,claim,sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,nhs_number,patient continuity and safe matching,used for patient continuity and matching after local session establishment rather than direct authorisation,rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_gp_im1_pairing,P5_or_P9,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,needs_actual_assurance_confirmation,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Claim use remains subordinate to local authorisation.
ROW_124_CLAIM_FAMILY_NAME,claim,sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,family_name,patient identity continuity,used for patient identity display and continuity checks after successful local session fencing,rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_gp_im1_pairing,P5_or_P9,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Display and continuity only.
ROW_124_CLAIM_BIRTHDATE,claim,sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,birthdate,patient identity continuity,used for safe identity continuity checks and not as feature authorisation by itself,rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_gp_im1_pairing,P5_or_P9,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Supports continuity and matching.
ROW_124_CLAIM_IDENTITY_PROOFING_LEVEL,claim,sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,identity_proofing_level,assurance routing and step-up logic,used to decide whether the route remains read-only or claim-pending or can enter local capability review,rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_gp_im1_pairing,P5_or_P9,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,needs_actual_assurance_confirmation,ROLE_IDENTITY_DOMAIN_LEAD,2026-05-08,Assurance signal does not itself imply writable access.
ROW_124_CLAIM_GIVEN_NAME,claim,sb_patient_profile_extended,given_name,extended patient continuity,used only where the extended profile bundle is justified for appointments or health record continuity,rb_patient_appointments|rb_patient_health_record,P9_with_local_capability_gate,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,needs_actual_assurance_confirmation,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Extended-profile-only claim.
ROW_124_CLAIM_GP_LINKAGE_KEY,claim,sb_gp_im1_pairing,gp_linkage_key,IM1 pairing and GP account linkage,used only for explicit IM1-enabled GP pairing flows after external approval,rb_gp_im1_pairing,P9_plus_IM1_and_external_approval,par_123_im1_scal_readiness_pack|actual_im1_live_or_approved_third_party,blocked_until_actual_im1_pairing_and_scope_approval_are_real,not_contact_truth,EVID_124_GAP_REGISTER,blocked_by_actual_im1_pairing_and_scope_approval,ROLE_INTEROPERABILITY_EVIDENCE_LEAD,2026-06-10,Blocked outside simulator rehearsal.
ROW_124_CLAIM_GP_ODS_CODE,claim,sb_gp_im1_pairing,gp_ods_code,IM1 pairing and GP practice routing,used only for explicit IM1-enabled GP pairing flows after external approval,rb_gp_im1_pairing,P9_plus_IM1_and_external_approval,par_123_im1_scal_readiness_pack|actual_im1_live_or_approved_third_party,blocked_until_actual_im1_pairing_and_scope_approval_are_real,not_contact_truth,EVID_124_GAP_REGISTER,blocked_by_actual_im1_pairing_and_scope_approval,ROLE_INTEROPERABILITY_EVIDENCE_LEAD,2026-06-10,Blocked outside simulator rehearsal.
ROW_124_CLAIM_GP_USER_ID,claim,sb_gp_im1_pairing,gp_user_id,IM1 pairing and GP account linkage,used only for explicit IM1-enabled GP pairing flows after external approval,rb_gp_im1_pairing,P9_plus_IM1_and_external_approval,par_123_im1_scal_readiness_pack|actual_im1_live_or_approved_third_party,blocked_until_actual_im1_pairing_and_scope_approval_are_real,not_contact_truth,EVID_124_GAP_REGISTER,blocked_by_actual_im1_pairing_and_scope_approval,ROLE_INTEROPERABILITY_EVIDENCE_LEAD,2026-06-10,Blocked outside simulator rehearsal.
