artifact_id,artifact_type,mock_or_actual,submittable_state,supplier_scope,provider_supplier_name,capability_family,vecells_target_posture,current_track_claim,current_mock_adapter_state,actual_pairing_claim_state,provider_specific_pairing_requirement,assumption_note,source_blueprint_refs,official_process_stage,required_prerequisite,current_evidence_ref,gap_state,owner_role,review_due_at,notes
ART_123_SUPPLIER_TPP_SYSTMONE_PATIENT_API_BOOKING_VISIBILITY_MOCK,supplier_capability_claim,mock_now_execution,pre_pairing_non_submittable,tpp_systmone,TPP (SystmOne),patient_api_booking_visibility,Bounded patient-facing appointment visibility and booking actions are in scope only where the paired supplier capability row and GP-practice linkage rules allow them.,simulated_or_bounded_only,Simulated through deterministic IM1 twins without claiming supplier acceptance.,Need provider-specific PIP review and accepted compatibility scope.,"Pairing Integration Pack, compatibility review, and supplier-specific test evidence",Mock twins and bounded capability claims do not imply real supplier acceptance.,blueprint/phase-4-the-booking-engine.md#IM1-first_booking_boundaries_and_provider_specific_pairing|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Current supplier roster plus local IM1 simulator evidence,data/analysis/gp_booking_capability_evidence.json#im1_pairing_tpp_systmone,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,TPP (SystmOne) remains a rehearsal-only claim until provider-specific pairing evidence exists.
ART_123_SUPPLIER_TPP_SYSTMONE_PATIENT_API_BOOKING_VISIBILITY_ACTUAL,supplier_capability_claim,actual_production_strategy_later,conversion_plan_only,tpp_systmone,TPP (SystmOne),patient_api_booking_visibility,Bounded patient-facing appointment visibility and booking actions are in scope only where the paired supplier capability row and GP-practice linkage rules allow them.,not_claimable_until_provider_specific_evidence_exists,Simulated through deterministic IM1 twins without claiming supplier acceptance.,Need provider-specific PIP review and accepted compatibility scope.,"Accepted supplier-specific PIP, compatibility review, and legal plus test gates",Actual claims stay blocked until provider-specific evidence replaces the rehearsal placeholders.,blueprint/phase-4-the-booking-engine.md#IM1-first_booking_boundaries_and_provider_specific_pairing|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Accepted provider PIP and compatibility review,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_TPP_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-28,Do not convert the TPP (SystmOne) rehearsal row into a live claim until the supplier pack and pairing gates are complete.
ART_123_SUPPLIER_TPP_SYSTMONE_STAFF_TRANSACTION_SUPPORT_MOCK,supplier_capability_claim,mock_now_execution,pre_pairing_non_submittable,tpp_systmone,TPP (SystmOne),staff_transaction_support,Staff-assisted transaction flows can surface bounded search and record actions without implying that patient self-service and staff rights are identical.,simulated_or_bounded_only,Simulated through supplier twins and network coordination fallback.,Need provider-specific transaction capabilities and any local component requirements confirmed.,"Pairing Integration Pack, compatibility review, and supplier-specific test evidence",Mock twins and bounded capability claims do not imply real supplier acceptance.,blueprint/phase-4-the-booking-engine.md#ProviderCapabilityMatrix|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Current supplier roster plus local IM1 simulator evidence,data/analysis/gp_booking_capability_evidence.json#im1_pairing_tpp_systmone,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,TPP (SystmOne) remains a rehearsal-only claim until provider-specific pairing evidence exists.
ART_123_SUPPLIER_TPP_SYSTMONE_STAFF_TRANSACTION_SUPPORT_ACTUAL,supplier_capability_claim,actual_production_strategy_later,conversion_plan_only,tpp_systmone,TPP (SystmOne),staff_transaction_support,Staff-assisted transaction flows can surface bounded search and record actions without implying that patient self-service and staff rights are identical.,not_claimable_until_provider_specific_evidence_exists,Simulated through supplier twins and network coordination fallback.,Need provider-specific transaction capabilities and any local component requirements confirmed.,"Accepted supplier-specific PIP, compatibility review, and legal plus test gates",Actual claims stay blocked until provider-specific evidence replaces the rehearsal placeholders.,blueprint/phase-4-the-booking-engine.md#ProviderCapabilityMatrix|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Accepted provider PIP and compatibility review,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_TPP_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-28,Do not convert the TPP (SystmOne) rehearsal row into a live claim until the supplier pack and pairing gates are complete.
ART_123_SUPPLIER_TPP_SYSTMONE_CONFIRMATION_AND_SLOT_TRUTH_MOCK,supplier_capability_claim,mock_now_execution,pre_pairing_non_submittable,tpp_systmone,TPP (SystmOne),confirmation_and_slot_truth,Only authoritative confirmation proof may reassure a booking; acceptance or queueing alone is never presented as booked truth.,simulated_or_bounded_only,Simulated with same-commit read-after-write and ambiguity paths in the local IM1 twins.,Need provider confirmation semantics and revalidation behaviour evidenced in the supplier PIP and test evidence.,"Pairing Integration Pack, compatibility review, and supplier-specific test evidence",Mock twins and bounded capability claims do not imply real supplier acceptance.,blueprint/phase-4-the-booking-engine.md#Commit_path_revalidation_booking_record_and_compensation|data/analysis/gp_booking_capability_evidence.json,stage_one_scal_and_compatibility_review,Current supplier roster plus local IM1 simulator evidence,data/analysis/gp_booking_capability_evidence.json#im1_pairing_tpp_systmone,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,TPP (SystmOne) remains a rehearsal-only claim until provider-specific pairing evidence exists.
ART_123_SUPPLIER_TPP_SYSTMONE_CONFIRMATION_AND_SLOT_TRUTH_ACTUAL,supplier_capability_claim,actual_production_strategy_later,conversion_plan_only,tpp_systmone,TPP (SystmOne),confirmation_and_slot_truth,Only authoritative confirmation proof may reassure a booking; acceptance or queueing alone is never presented as booked truth.,not_claimable_until_provider_specific_evidence_exists,Simulated with same-commit read-after-write and ambiguity paths in the local IM1 twins.,Need provider confirmation semantics and revalidation behaviour evidenced in the supplier PIP and test evidence.,"Accepted supplier-specific PIP, compatibility review, and legal plus test gates",Actual claims stay blocked until provider-specific evidence replaces the rehearsal placeholders.,blueprint/phase-4-the-booking-engine.md#Commit_path_revalidation_booking_record_and_compensation|data/analysis/gp_booking_capability_evidence.json,stage_one_scal_and_compatibility_review,Accepted provider PIP and compatibility review,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_TPP_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-28,Do not convert the TPP (SystmOne) rehearsal row into a live claim until the supplier pack and pairing gates are complete.
ART_123_SUPPLIER_TPP_SYSTMONE_GP_PRACTICE_LINKAGE_AND_ACCOUNT_BINDING_MOCK,supplier_capability_claim,mock_now_execution,pre_pairing_non_submittable,tpp_systmone,TPP (SystmOne),gp_practice_linkage_and_account_binding,Patient linkage remains explicit and cannot be collapsed into NHS login success or one-off IM1 data retrieval.,simulated_or_bounded_only,Synthetic linkage tuples are seeded locally for rehearsal only.,Need supplier-specific linkage flows and approved high-assurance identity posture.,"Pairing Integration Pack, compatibility review, and supplier-specific test evidence",Mock twins and bounded capability claims do not imply real supplier acceptance.,blueprint/phase-2-identity-and-echoes.md#NHS_login_bridge_and_local_session_engine|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Current supplier roster plus local IM1 simulator evidence,data/analysis/gp_booking_capability_evidence.json#im1_pairing_tpp_systmone,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,TPP (SystmOne) remains a rehearsal-only claim until provider-specific pairing evidence exists.
ART_123_SUPPLIER_TPP_SYSTMONE_GP_PRACTICE_LINKAGE_AND_ACCOUNT_BINDING_ACTUAL,supplier_capability_claim,actual_production_strategy_later,conversion_plan_only,tpp_systmone,TPP (SystmOne),gp_practice_linkage_and_account_binding,Patient linkage remains explicit and cannot be collapsed into NHS login success or one-off IM1 data retrieval.,not_claimable_until_provider_specific_evidence_exists,Synthetic linkage tuples are seeded locally for rehearsal only.,Need supplier-specific linkage flows and approved high-assurance identity posture.,"Accepted supplier-specific PIP, compatibility review, and legal plus test gates",Actual claims stay blocked until provider-specific evidence replaces the rehearsal placeholders.,blueprint/phase-2-identity-and-echoes.md#NHS_login_bridge_and_local_session_engine|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Accepted provider PIP and compatibility review,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_TPP_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-28,Do not convert the TPP (SystmOne) rehearsal row into a live claim until the supplier pack and pairing gates are complete.
ART_123_SUPPLIER_TPP_SYSTMONE_PAIRING_PACK_AND_ENVIRONMENT_ACCESS_MOCK,supplier_capability_claim,mock_now_execution,pre_pairing_non_submittable,tpp_systmone,TPP (SystmOne),pairing_pack_and_environment_access,"Provider mock API, unsupported test, supported test, and assurance are all distinct gates and stay visible as such.",simulated_or_bounded_only,Mock provider pack placeholders and simulator-backed unsupported-test rehearsal only.,"Need accepted PIP, licence completion, and provider-issued environment access.","Pairing Integration Pack, compatibility review, and supplier-specific test evidence",Mock twins and bounded capability claims do not imply real supplier acceptance.,official_im1_pairing_process|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Current supplier roster plus local IM1 simulator evidence,data/analysis/gp_booking_capability_evidence.json#im1_pairing_tpp_systmone,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,TPP (SystmOne) remains a rehearsal-only claim until provider-specific pairing evidence exists.
ART_123_SUPPLIER_TPP_SYSTMONE_PAIRING_PACK_AND_ENVIRONMENT_ACCESS_ACTUAL,supplier_capability_claim,actual_production_strategy_later,conversion_plan_only,tpp_systmone,TPP (SystmOne),pairing_pack_and_environment_access,"Provider mock API, unsupported test, supported test, and assurance are all distinct gates and stay visible as such.",not_claimable_until_provider_specific_evidence_exists,Mock provider pack placeholders and simulator-backed unsupported-test rehearsal only.,"Need accepted PIP, licence completion, and provider-issued environment access.","Accepted supplier-specific PIP, compatibility review, and legal plus test gates",Actual claims stay blocked until provider-specific evidence replaces the rehearsal placeholders.,official_im1_pairing_process|official_im1_interface_guidance,stage_one_scal_and_compatibility_review,Accepted provider PIP and compatibility review,data/assurance/im1_gap_register.json#GAP_IM1_PROVIDER_PACK_TPP_PENDING,provider_pack_pending,ROLE_INTEROPERABILITY_LEAD,2026-05-28,Do not convert the TPP (SystmOne) rehearsal row into a live claim until the supplier pack and pairing gates are complete.
