compatibility_row_id,environment_compatibility_ref,environment_ring,release_ref,dimension_code,dimension_label,compatibility_state,raw_publication_state,raw_parity_state,subject_ref,subject_label,environment_baseline_fingerprint_ref,runtime_publication_bundle_ref,release_publication_parity_ref,evidence_refs,blocker_refs,recovery_obligation_refs,notes
ECM_131_CI_PREVIEW_WORKLOAD_FAMILIES,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,workload_families,Workload families,exact,stale,stale,wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_integration_simulation_lab;wf_data_stateful_plane;wf_assurance_security_control,9 workload families,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,,RDS_CI_PREVIEW_V1,Every ring must preserve the same declared workload-family estate and service-identity map.
ECM_131_CI_PREVIEW_TRUST_ZONE_BOUNDARIES,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,trust_zone_boundaries,Trust-zone boundaries,exact,stale,stale,tzb_application_core_to_assurance_security;tzb_application_core_to_integration_perimeter;tzb_application_core_to_stateful_data;tzb_assurance_security_to_stateful_data;tzb_integration_perimeter_to_assurance_security;tzb_integration_perimeter_to_stateful_data;tzb_public_edge_to_published_gateway;tzb_public_edge_to_shell_delivery;tzb_published_gateway_to_application_core;tzb_published_gateway_to_assurance_security,10 trust boundaries,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/region_resilience_matrix.json,,RDS_CI_PREVIEW_V1,Ring equivalence is invalid if the trust-zone and boundary inventory drifts.
ECM_131_CI_PREVIEW_GATEWAY_SURFACES,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,gateway_surfaces,Gateway surfaces,blocked,stale,stale,gws_patient_intake_web;gws_patient_intake_phone;gws_patient_secure_link_recovery;gws_patient_home;gws_patient_requests;gws_patient_appointments;gws_patient_health_record;gws_patient_messages;gws_patient_embedded_shell;gws_clinician_workspace;gws_clinician_workspace_child;gws_practice_ops_workspace;gws_hub_queue;gws_hub_case_management;gws_pharmacy_console;gws_support_ticket_workspace;gws_support_replay_observe;gws_support_assisted_capture;gws_operations_board;gws_operations_drilldown;gws_governance_shell;gws_assistive_sidecar,22 gateway surfaces,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/surface_authority_verdicts.json;data/analysis/release_publication_parity_records.json,FZB_131_CI_PREVIEW_GATEWAY_SURFACES,RDS_CI_PREVIEW_V1,"No non-local ring can expose gateway surfaces as compatible while runtime publication, restore, or parity evidence is blocked."
ECM_131_CI_PREVIEW_CHANNEL_BRIDGE_CAPABILITIES,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,channel_bridge_capabilities,Channel and bridge assumptions,exact,stale,stale,MBCS_CI_PREVIEW_V1,CMS_CI_PREVIEW_V1,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/runtime_publication_bundles.json,,RDS_CI_PREVIEW_V1,"Channel manifests and minimum bridge floors are part of the environment baseline, not optional sidecars."
ECM_131_CI_PREVIEW_MIGRATION_BACKFILL_POSTURE,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,migration_backfill_posture,Migration and backfill posture,stale,stale,stale,SMP_CI_PREVIEW_V1,PBP_CI_PREVIEW_V1,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/migration_backfill_control_catalog.json;data/analysis/release_publication_parity_records.json,FZB_131_CI_PREVIEW_MIGRATION_BACKFILL_POSTURE,RDS_CI_PREVIEW_V1,Preview remains fail-closed because the current ci-preview publication bundle is already stale and cannot authorize schema or backfill work.
ECM_131_CI_PREVIEW_OBSERVABILITY_RESTORE_POSTURE,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,observability_restore_posture,Observability and restore posture,blocked,stale,stale,CI_PREVIEW_VERIFIED_BROWSER_SCOPE,ORS_101_CI-PREVIEW_MISSING_BACKUP_MANIFEST,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/build_provenance_integrity_catalog.json;data/analysis/release_watch_pipeline_catalog.json;data/analysis/resilience_baseline_catalog.json,FZB_131_CI_PREVIEW_OBSERVABILITY_RESTORE_POSTURE,RDS_CI_PREVIEW_V1,"Restore authority is blocked by missing manifests, blocked proof, tuple drift, or assurance freeze posture."
ECM_131_INTEGRATION_RUNTIME_PUBLICATION_AND_PARITY,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,runtime_publication_and_parity,Runtime publication and parity,blocked,conflict,conflict,rpb::integration::authoritative,Integration,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/runtime_publication_bundles.json;data/analysis/release_publication_parity_records.json,FZB_131_INTEGRATION_RUNTIME_PUBLICATION_AND_PARITY,RDS_INTEGRATION_V1,"Published runtime truth stays exact only while parity, publication, and provenance consumption stay aligned."
ECM_131_INTEGRATION_RUNTIME_TOPOLOGY,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,runtime_topology,Runtime topology,blocked,conflict,conflict,2848305b9a588e0a,9 workload families,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,FZB_131_INTEGRATION_RUNTIME_TOPOLOGY,RDS_INTEGRATION_V1,EnvironmentBaselineFingerprint alignment is mandatory before a ring can claim it still matches the approved runtime shape.
ECM_131_INTEGRATION_WORKLOAD_FAMILIES,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,workload_families,Workload families,blocked,conflict,conflict,wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_integration_simulation_lab;wf_data_stateful_plane;wf_assurance_security_control,9 workload families,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,FZB_131_INTEGRATION_WORKLOAD_FAMILIES,RDS_INTEGRATION_V1,Every ring must preserve the same declared workload-family estate and service-identity map.
ECM_131_INTEGRATION_TRUST_ZONE_BOUNDARIES,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,trust_zone_boundaries,Trust-zone boundaries,blocked,conflict,conflict,tzb_application_core_to_assurance_security;tzb_application_core_to_integration_perimeter;tzb_application_core_to_stateful_data;tzb_assurance_security_to_stateful_data;tzb_integration_perimeter_to_assurance_security;tzb_integration_perimeter_to_stateful_data;tzb_public_edge_to_published_gateway;tzb_public_edge_to_shell_delivery;tzb_published_gateway_to_application_core;tzb_published_gateway_to_assurance_security,10 trust boundaries,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/region_resilience_matrix.json,FZB_131_INTEGRATION_TRUST_ZONE_BOUNDARIES,RDS_INTEGRATION_V1,Ring equivalence is invalid if the trust-zone and boundary inventory drifts.
ECM_131_INTEGRATION_GATEWAY_SURFACES,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,gateway_surfaces,Gateway surfaces,blocked,conflict,conflict,gws_patient_intake_web;gws_patient_intake_phone;gws_patient_secure_link_recovery;gws_patient_home;gws_patient_requests;gws_patient_appointments;gws_patient_health_record;gws_patient_messages;gws_patient_embedded_shell;gws_clinician_workspace;gws_clinician_workspace_child;gws_practice_ops_workspace;gws_hub_queue;gws_hub_case_management;gws_pharmacy_console;gws_support_ticket_workspace;gws_support_replay_observe;gws_support_assisted_capture;gws_operations_board;gws_operations_drilldown;gws_governance_shell;gws_assistive_sidecar,22 gateway surfaces,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/surface_authority_verdicts.json;data/analysis/release_publication_parity_records.json,FZB_131_INTEGRATION_GATEWAY_SURFACES,RDS_INTEGRATION_V1,"No non-local ring can expose gateway surfaces as compatible while runtime publication, restore, or parity evidence is blocked."
ECM_131_INTEGRATION_CHANNEL_BRIDGE_CAPABILITIES,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,channel_bridge_capabilities,Channel and bridge assumptions,blocked,conflict,conflict,MBCS_INTEGRATION_V1,CMS_INTEGRATION_V1,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/runtime_publication_bundles.json,FZB_131_INTEGRATION_CHANNEL_BRIDGE_CAPABILITIES,RDS_INTEGRATION_V1,"Channel manifests and minimum bridge floors are part of the environment baseline, not optional sidecars."
ECM_131_INTEGRATION_MIGRATION_BACKFILL_POSTURE,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,migration_backfill_posture,Migration and backfill posture,blocked,conflict,conflict,SMP_INTEGRATION_V1,PBP_INTEGRATION_V1,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/migration_backfill_control_catalog.json;data/analysis/release_publication_parity_records.json,FZB_131_INTEGRATION_MIGRATION_BACKFILL_POSTURE,RDS_INTEGRATION_V1,Integration cannot start because the runtime tuple is in conflict and the backfill runner refuses to treat the projection worker as business truth.
ECM_131_INTEGRATION_OBSERVABILITY_RESTORE_POSTURE,ECE_131_INTEGRATION,integration,RC_INTEGRATION_V1,observability_restore_posture,Observability and restore posture,blocked,conflict,conflict,INTEGRATION_SIGNATURE_DRIFT_QUARANTINED,ORS_101_INTEGRATION_BLOCKED_RESTORE_PROOF,EBF_INTEGRATION_V1,rpb::integration::authoritative,rpp::integration::authoritative,data/analysis/build_provenance_integrity_catalog.json;data/analysis/release_watch_pipeline_catalog.json;data/analysis/resilience_baseline_catalog.json,FZB_131_INTEGRATION_OBSERVABILITY_RESTORE_POSTURE,RDS_INTEGRATION_V1,"Restore authority is blocked by missing manifests, blocked proof, tuple drift, or assurance freeze posture."
ECM_131_PREPROD_RUNTIME_PUBLICATION_AND_PARITY,ECE_131_PREPROD,preprod,RC_PREPROD_V1,runtime_publication_and_parity,Runtime publication and parity,blocked,withdrawn,withdrawn,rpb::preprod::authoritative,Preprod,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/runtime_publication_bundles.json;data/analysis/release_publication_parity_records.json,FZB_131_PREPROD_RUNTIME_PUBLICATION_AND_PARITY,RDS_PREPROD_V1,"Published runtime truth stays exact only while parity, publication, and provenance consumption stay aligned."
ECM_131_PREPROD_RUNTIME_TOPOLOGY,ECE_131_PREPROD,preprod,RC_PREPROD_V1,runtime_topology,Runtime topology,blocked,withdrawn,withdrawn,94728acd97f0913b,16 workload families,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,FZB_131_PREPROD_RUNTIME_TOPOLOGY,RDS_PREPROD_V1,EnvironmentBaselineFingerprint alignment is mandatory before a ring can claim it still matches the approved runtime shape.
ECM_131_PREPROD_WORKLOAD_FAMILIES,ECE_131_PREPROD,preprod,RC_PREPROD_V1,workload_families,Workload families,blocked,withdrawn,withdrawn,wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_data_stateful_plane;wf_assurance_security_control;wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_data_stateful_plane;wf_assurance_security_control,16 workload families,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,FZB_131_PREPROD_WORKLOAD_FAMILIES,RDS_PREPROD_V1,Every ring must preserve the same declared workload-family estate and service-identity map.
ECM_131_PREPROD_TRUST_ZONE_BOUNDARIES,ECE_131_PREPROD,preprod,RC_PREPROD_V1,trust_zone_boundaries,Trust-zone boundaries,blocked,withdrawn,withdrawn,tzb_application_core_to_assurance_security;tzb_application_core_to_integration_perimeter;tzb_application_core_to_stateful_data;tzb_assurance_security_to_stateful_data;tzb_integration_perimeter_to_assurance_security;tzb_integration_perimeter_to_stateful_data;tzb_public_edge_to_published_gateway;tzb_public_edge_to_shell_delivery;tzb_published_gateway_to_application_core;tzb_published_gateway_to_assurance_security,10 trust boundaries,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/region_resilience_matrix.json,FZB_131_PREPROD_TRUST_ZONE_BOUNDARIES,RDS_PREPROD_V1,Ring equivalence is invalid if the trust-zone and boundary inventory drifts.
ECM_131_PREPROD_GATEWAY_SURFACES,ECE_131_PREPROD,preprod,RC_PREPROD_V1,gateway_surfaces,Gateway surfaces,blocked,withdrawn,withdrawn,gws_patient_intake_web;gws_patient_intake_phone;gws_patient_secure_link_recovery;gws_patient_home;gws_patient_requests;gws_patient_appointments;gws_patient_health_record;gws_patient_messages;gws_patient_embedded_shell;gws_clinician_workspace;gws_clinician_workspace_child;gws_practice_ops_workspace;gws_hub_queue;gws_hub_case_management;gws_pharmacy_console;gws_support_ticket_workspace;gws_support_replay_observe;gws_support_assisted_capture;gws_operations_board;gws_operations_drilldown;gws_governance_shell;gws_assistive_sidecar,22 gateway surfaces,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/surface_authority_verdicts.json;data/analysis/release_publication_parity_records.json,FZB_131_PREPROD_GATEWAY_SURFACES,RDS_PREPROD_V1,"No non-local ring can expose gateway surfaces as compatible while runtime publication, restore, or parity evidence is blocked."
ECM_131_PREPROD_CHANNEL_BRIDGE_CAPABILITIES,ECE_131_PREPROD,preprod,RC_PREPROD_V1,channel_bridge_capabilities,Channel and bridge assumptions,blocked,withdrawn,withdrawn,MBCS_PREPROD_V1,CMS_PREPROD_V1,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/runtime_publication_bundles.json,FZB_131_PREPROD_CHANNEL_BRIDGE_CAPABILITIES,RDS_PREPROD_V1,"Channel manifests and minimum bridge floors are part of the environment baseline, not optional sidecars."
ECM_131_PREPROD_MIGRATION_BACKFILL_POSTURE,ECE_131_PREPROD,preprod,RC_PREPROD_V1,migration_backfill_posture,Migration and backfill posture,blocked,withdrawn,withdrawn,SMP_PREPROD_V1,PBP_PREPROD_V1,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/migration_backfill_control_catalog.json;data/analysis/release_publication_parity_records.json,FZB_131_PREPROD_MIGRATION_BACKFILL_POSTURE,RDS_PREPROD_V1,Withdrawn publication authority blocks support replay migration entirely; no backfill or route live posture is inferred from historical rows.
ECM_131_PREPROD_OBSERVABILITY_RESTORE_POSTURE,ECE_131_PREPROD,preprod,RC_PREPROD_V1,observability_restore_posture,Observability and restore posture,blocked,withdrawn,withdrawn,PREPROD_BINDING_DRIFT_QUARANTINED,ORS_101_PREPROD_TUPLE_DRIFT,EBF_PREPROD_V1,rpb::preprod::authoritative,rpp::preprod::authoritative,data/analysis/build_provenance_integrity_catalog.json;data/analysis/release_watch_pipeline_catalog.json;data/analysis/resilience_baseline_catalog.json,FZB_131_PREPROD_OBSERVABILITY_RESTORE_POSTURE,RDS_PREPROD_V1,"Restore authority is blocked by missing manifests, blocked proof, tuple drift, or assurance freeze posture."
ECM_131_PRODUCTION_RUNTIME_PUBLICATION_AND_PARITY,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,runtime_publication_and_parity,Runtime publication and parity,stale,stale,stale,rpb::production::authoritative,Production,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/runtime_publication_bundles.json;data/analysis/release_publication_parity_records.json,FZB_131_PRODUCTION_RUNTIME_PUBLICATION_AND_PARITY,RDS_PRODUCTION_V1,"Published runtime truth stays exact only while parity, publication, and provenance consumption stay aligned."
ECM_131_PRODUCTION_RUNTIME_TOPOLOGY,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,runtime_topology,Runtime topology,blocked,stale,stale,f2a1a973d6123f1e,16 workload families,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,FZB_131_PRODUCTION_RUNTIME_TOPOLOGY,RDS_PRODUCTION_V1,EnvironmentBaselineFingerprint alignment is mandatory before a ring can claim it still matches the approved runtime shape.
ECM_131_PRODUCTION_WORKLOAD_FAMILIES,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,workload_families,Workload families,blocked,stale,stale,wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_data_stateful_plane;wf_assurance_security_control;wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_data_stateful_plane;wf_assurance_security_control,16 workload families,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,FZB_131_PRODUCTION_WORKLOAD_FAMILIES,RDS_PRODUCTION_V1,Every ring must preserve the same declared workload-family estate and service-identity map.
ECM_131_PRODUCTION_TRUST_ZONE_BOUNDARIES,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,trust_zone_boundaries,Trust-zone boundaries,blocked,stale,stale,tzb_application_core_to_assurance_security;tzb_application_core_to_integration_perimeter;tzb_application_core_to_stateful_data;tzb_assurance_security_to_stateful_data;tzb_integration_perimeter_to_assurance_security;tzb_integration_perimeter_to_stateful_data;tzb_public_edge_to_published_gateway;tzb_public_edge_to_shell_delivery;tzb_published_gateway_to_application_core;tzb_published_gateway_to_assurance_security,10 trust boundaries,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/region_resilience_matrix.json,FZB_131_PRODUCTION_TRUST_ZONE_BOUNDARIES,RDS_PRODUCTION_V1,Ring equivalence is invalid if the trust-zone and boundary inventory drifts.
ECM_131_PRODUCTION_GATEWAY_SURFACES,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,gateway_surfaces,Gateway surfaces,blocked,stale,stale,gws_patient_intake_web;gws_patient_intake_phone;gws_patient_secure_link_recovery;gws_patient_home;gws_patient_requests;gws_patient_appointments;gws_patient_health_record;gws_patient_messages;gws_patient_embedded_shell;gws_clinician_workspace;gws_clinician_workspace_child;gws_practice_ops_workspace;gws_hub_queue;gws_hub_case_management;gws_pharmacy_console;gws_support_ticket_workspace;gws_support_replay_observe;gws_support_assisted_capture;gws_operations_board;gws_operations_drilldown;gws_governance_shell;gws_assistive_sidecar,22 gateway surfaces,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/surface_authority_verdicts.json;data/analysis/release_publication_parity_records.json,FZB_131_PRODUCTION_GATEWAY_SURFACES,RDS_PRODUCTION_V1,"No non-local ring can expose gateway surfaces as compatible while runtime publication, restore, or parity evidence is blocked."
ECM_131_PRODUCTION_CHANNEL_BRIDGE_CAPABILITIES,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,channel_bridge_capabilities,Channel and bridge assumptions,blocked,stale,stale,MBCS_PRODUCTION_V1,CMS_PRODUCTION_V1,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/runtime_publication_bundles.json,FZB_131_PRODUCTION_CHANNEL_BRIDGE_CAPABILITIES,RDS_PRODUCTION_V1,"Channel manifests and minimum bridge floors are part of the environment baseline, not optional sidecars."
ECM_131_PRODUCTION_MIGRATION_BACKFILL_POSTURE,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,migration_backfill_posture,Migration and backfill posture,blocked,stale,stale,SMP_PRODUCTION_V1,PBP_PRODUCTION_V1,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/migration_backfill_control_catalog.json;data/analysis/release_publication_parity_records.json,FZB_131_PRODUCTION_MIGRATION_BACKFILL_POSTURE,RDS_PRODUCTION_V1,No governed migration or backfill evidence is published for this ring.
ECM_131_PRODUCTION_OBSERVABILITY_RESTORE_POSTURE,ECE_131_PRODUCTION,production,RC_PRODUCTION_V1,observability_restore_posture,Observability and restore posture,blocked,stale,stale,PRODUCTION_REVOKED_WITHDRAWN,missing_readiness_snapshot,EBF_PRODUCTION_V1,rpb::production::authoritative,rpp::production::authoritative,data/analysis/build_provenance_integrity_catalog.json;data/analysis/release_watch_pipeline_catalog.json;data/analysis/resilience_baseline_catalog.json,FZB_131_PRODUCTION_OBSERVABILITY_RESTORE_POSTURE,RDS_PRODUCTION_V1,No ring-specific restore rehearsal or operational readiness snapshot is published for this environment.
